操作内容,SUT,結果,出力時間
WebConnectコマンドでSUTに接続すること確認, Android,OK,2023-07-27_14:19:25
csvファイルへの読み込み・書き込み・参照確認, Android,OK,2023-07-27_14:19:28
excelファイルへの読み込み・書き込み・参照確認, Android,OK,2023-07-27_14:19:28
if then elseテストif文中の処理が実行, Android,OK,2023-07-27_14:19:28
if then elseテストelse文中の処理が実行, Android,OK,2023-07-27_14:19:28
Repeat Foreverコマンドで条件式がtrueになるまで処理を繰り返し実行する, Android,OK,2023-07-27_14:19:29
Repeat Timeコマンドで指定された回数まで処理を繰り返し実行する, Android,OK,2023-07-27_14:19:29
Repeat Until Conditionコマンドで条件式がtrueまで繰り返し実行すること確認, Android,OK,2023-07-27_14:19:29
Repeat Whileコマンドで条件式がtrueまで繰り返し実行すること確認, Android,OK,2023-07-27_14:19:29
Repeat With Variable = Start to Finishコマンド指定変数になるまで繰り返し実行, Android,OK,2023-07-27_14:19:39
Repeat with eachコマンドで複数グループで処理が繰り返し実行する, Android,OK,2023-07-27_14:19:39
Repeat at least once untilコマンドで条件満たすまで最低一回実行されること確認, Android,OK,2023-07-27_14:19:39
addコマンドで数値を加算する, Android,OK,2023-07-27_14:19:39
Replaceコマンドで指定テキストを入れ替え, Android,OK,2023-07-27_14:19:39
Deleteコマンドでテキストの指定文字を削除する, Android,OK,2023-07-27_14:19:40
runコマンドで指定ハンドラーを実行, Android,OK,2023-07-27_14:19:40
try_catchテストでtry中の処理を実行するパターン確認, Android,OK,2023-07-27_14:19:41
try_catchテストでcatch中の処理を実行するパターン確認, Android,OK,2023-07-27_14:19:57
RunWithNewResultsで指定スクリプトを実行, Android,OK,2023-07-27_14:20:05
KillAppコマンドで指定アプリを閉じる, Android,OK,2023-07-27_14:20:13
swipeleftコマンドでスマホ画面を切り替わる, Android,OK,2023-07-27_14:20:13
swiperightコマンドでスマホ画面を切り替わる, Android,OK,2023-07-27_14:20:17
swipeUpコマンドで上にスワイプすること確認, Android,OK,2023-07-27_14:20:27
swipeDownコマンドで下にスワイプすること確認, Android,OK,2023-07-27_14:20:35
ImageFoundコマンドで指定画像を検知する, Android,OK,2023-07-27_14:20:39
Clickコマンドで指定文字をクリックする, Android,OK,2023-07-27_14:20:48
Clickコマンドで指定画像をクリックする, Android,OK,2023-07-27_14:20:56
rotateLeftコマンドで画面を左に回転する, Android,OK,2023-07-27_14:21:26
SetDeviceOrientation portraitコマンドで画面をデフォルトに戻される, Android,OK,2023-07-27_14:21:31
SetDeviceOrientation landscapeLeftコマンドで画面を左に回転する, Android,OK,2023-07-27_14:21:41
rotateRightコマンドで画面を右に回転する, Android,OK,2023-07-27_14:21:54
SetDeviceOrientation landscapeRightコマンドで画面を右に回転する, Android,OK,2023-07-27_14:22:11
SetRemoteClipboardコマンドでテキスト貼り付けること確認, Android,OK,2023-07-27_14:22:41
TypeTextコマンドで検知するキストを入力する操作とImagefoundコマンドで入力したテキストを検知する,Android,OK,2023-07-27_14:22:59
waitforコマンドでOCRを検知する, Android,OK,2023-07-27_14:23:21
waitforコマンドで画像を検知する, Android,OK,2023-07-27_14:23:25
wait Whileコマンドで指定画像を検知する, Android,OK,2023-07-27_14:23:28
wait untilコマンドで指定画像を検知する, Android,OK,2023-07-27_14:23:31
waitforallコマンドで指定画像と文字を検知する, Android,OK,2023-07-27_14:23:36
waitコマンドで5秒の待ち時間を設定する, Android,OK,2023-07-27_14:23:43
movetoコマンドで指定の場所に移動する, Android,OK,2023-07-27_14:23:48
ReadTextコマンドで指定範囲内の文字を読み取る,Android,OK,2023-07-27_14:24:28
Dargコマンドでカーソルを指定位置に移動してマウスダウンアクション実行、Dropコマンドでカーソルを新しい位置に移動してマウスダウンアクションを放す, Android,OK,2023-07-27_14:24:40
PressHomeButtonボタンでホーム画面に戻されること, Android,OK,2023-07-27_14:25:18
Log LogSuccess LogWarningコマンドテスト, Android,OK,2023-07-27_14:25:20
DisconnectコマンドでSUTと切断する, Android,OK,2023-07-27_14:25:23
Exit Repeatコマンドでリピート処理を終了する, Android,OK,2023-07-27_14:25:25
LogErrorコマンドでログが出力されること, Android,OK,2023-07-27_14:25:27
Exit Allコマンドでスクリプトの実行を終了する, Android,OK,2023-07-27_14:25:27
